seed,n_wings,exemplar_cost,budget,cap,n_supplies,total_value,plan_value,plan_cost,n_trips,best_source,solve_time_s,status,error
30008240,4,16121.0,5642.35,5,30,112,85,5400.0,9,learned ACO restart 2,9.952,ok,
30008238,2,8451.0,2957.85,5,30,95,69,2932.0,7,learned ACO restart 3,11.611,ok,
30008237,4,14348.0,5021.8,5,30,76,59,4995.0,9,learned ACO restart 2,13.833,ok,
30008239,3,8617.0,3015.95,5,30,91,58,2921.0,7,learned ACO restart 1,13.483,ok,
30008241,2,7086.0,2480.1,5,30,89,66,2395.0,8,learned ACO restart 1,10.981,ok,
30008243,4,24420.0,8547.0,5,30,96,68,8222.0,7,learned ACO restart 2,11.206,ok,
30008242,3,12692.0,4442.2,5,30,93,64,4380.0,8,learned ACO restart 1,12.44,ok,
30008245,3,6425.0,2248.75,5,30,92,62,2228.0,6,learned ACO restart 2,12.096,ok,
30008246,4,19629.0,6870.15,5,30,83,59,6731.0,6,learned ACO restart 1,11.138,ok,
30008244,2,6379.0,2232.65,5,30,90,75,2229.0,7,learned ACO restart 2,13.257,ok,
30008247,2,8501.0,2975.35,5,30,92,58,2883.0,6,learned ACO restart 3,10.614,ok,
30008249,4,13725.0,4803.75,5,30,83,57,4485.0,6,learned ACO restart 2,9.756,ok,
30008248,3,10520.0,3682.0,5,30,86,61,3638.0,9,learned ACO restart 1,11.149,ok,
30008250,2,5475.0,1916.25,5,30,84,62,1912.0,8,learned ACO restart 3,11.283,ok,
30008251,3,14044.0,4915.4,5,30,83,64,4700.0,10,learned ACO restart 1,11.357,ok,
30008255,4,18212.0,6374.2,5,30,94,63,6309.0,6,learned ACO restart 1,9.88,ok,
30008252,4,12116.0,4240.6,5,30,96,67,4172.0,7,learned ACO restart 1,11.673,ok,
30008256,2,7337.0,2567.95,5,30,95,66,2523.0,6,learned ACO restart 1,10.472,ok,
30008257,3,9013.0,3154.55,5,30,103,68,3126.0,6,learned ACO restart 1,9.491,ok,
30008253,2,6487.0,2270.45,5,30,94,61,2190.0,7,learned ACO restart 1,11.875,ok,
30008254,3,6205.0,2171.75,5,30,96,62,2162.0,8,learned ACO restart 1,12.49,ok,
30008258,4,14742.0,5159.7,5,30,87,58,4898.0,8,learned ACO restart 1,10.13,ok,
30008259,2,7604.0,2661.4,5,30,107,72,2602.0,7,learned ACO restart 3,9.727,ok,
30008260,3,7839.0,2743.65,5,30,88,59,2715.0,6,learned ACO restart 1,10.218,ok,
30008262,2,8161.0,2856.35,5,30,90,66,2762.0,6,learned ACO restart 1,10.974,ok,
30008261,4,9788.0,3425.8,5,30,89,66,3307.0,9,learned ACO restart 2,12.231,ok,
30008264,4,17920.0,6272.0,5,30,96,72,6144.0,8,learned ACO restart 2,12.589,ok,
30008263,3,10438.0,3653.3,5,30,89,64,3622.0,9,learned ACO restart 2,13.262,ok,
30008267,4,14509.0,5078.15,5,30,93,60,4972.0,7,learned ACO restart 1,10.406,ok,
30008265,2,7859.0,2750.65,5,30,90,63,2707.0,6,learned ACO restart 3,13.025,ok,
30008266,3,16332.0,5716.2,5,30,95,69,5689.0,9,learned ACO restart 3,11.852,ok,
30008268,2,8469.0,2964.15,5,30,86,59,2947.0,7,learned ACO restart 1,10.556,ok,
30008270,4,13547.0,4741.45,5,30,98,70,4677.0,7,learned ACO restart 2,10.212,ok,
30008271,2,7024.0,2458.4,5,30,89,68,2454.0,8,learned ACO restart 1,11.051,ok,
30008269,3,9869.0,3454.15,5,30,89,63,3428.0,10,learned ACO restart 1,14.49,ok,
30008275,3,15193.0,5317.55,5,30,79,56,5072.0,9,learned ACO restart 1,10.561,ok,
30008272,3,8902.0,3115.7,5,30,96,63,2973.0,7,learned ACO restart 1,13.541,ok,
30008274,2,5467.0,1913.45,5,30,79,51,1901.0,6,learned ACO restart 3,12.025,ok,
