seed,n_wings,exemplar_cost,budget,cap,n_supplies,total_value,plan_value,plan_cost,n_trips,best_source,solve_time_s,status,error
24093327,2,8963.0,5377.8,5,30,89,82,5351.0,9,learned ACO restart 3,12.024,ok,
24093328,3,13946.0,8367.6,5,30,100,88,8031.0,11,learned ACO restart 3,12.933,ok,
24093330,2,7919.0,4751.4,5,30,99,89,4730.0,9,learned ACO restart 1,12.947,ok,
24093329,4,13706.0,8223.6,5,30,83,74,7839.0,11,learned ACO restart 1,13.302,ok,
24093331,3,8351.0,5010.6,5,30,96,82,4832.0,8,learned ACO restart 1,11.799,ok,
24093332,4,14233.0,8539.8,5,30,101,84,8345.0,9,learned ACO restart 1,12.591,ok,
24093333,2,9458.0,5674.8,5,30,96,87,5626.0,10,learned ACO restart 3,12.134,ok,
24093334,3,9084.0,5450.4,5,30,97,85,5384.0,8,learned ACO restart 2,12.306,ok,
24093335,4,12619.0,7571.4,5,30,99,91,7393.0,10,learned ACO restart 1,13.813,ok,
24093338,4,12687.0,7612.2,5,30,88,77,7574.0,10,learned ACO restart 2 + swap search,11.212,ok,
24093336,2,6220.0,3732.0,5,30,97,89,3645.0,9,learned ACO restart 1,14.383,ok,
24093339,2,6658.0,3994.8,5,30,92,78,3812.0,8,learned ACO restart 1,10.183,ok,
24093337,3,5490.0,3294.0,5,30,90,84,3267.0,10,learned ACO restart 1,13.328,ok,
24093340,3,7158.0,4294.8,5,30,98,91,4238.0,9,learned ACO restart 3 + swap search,12.169,ok,
24093342,2,6233.0,3739.8,5,30,105,92,3571.0,10,learned ACO restart 3,12.17,ok,
24093341,4,9829.0,5897.4,5,30,93,80,5696.0,11,learned ACO restart 1,14.27,ok,
24093343,3,7474.0,4484.4,5,30,81,71,4368.0,11,learned ACO restart 2,11.275,ok,
24093346,3,10058.0,6034.8,5,30,83,76,5755.0,12,learned ACO restart 1,10.866,ok,
24093347,4,19375.0,11625.0,5,30,87,75,11351.0,9,learned ACO restart 1,10.589,ok,
24093344,4,11959.0,7175.4,5,30,90,79,7140.0,9,learned ACO restart 1,12.811,ok,
24093345,2,6722.0,4033.2,5,30,94,86,4002.0,11,learned ACO restart 2,12.713,ok,
24093348,2,8182.0,4909.2,5,30,88,78,4823.0,10,learned ACO restart 1,11.436,ok,
